days,miles,receipts,expected,actual,error,per_diem,mileage,receipts_band,sweet_spot,vacation_penalty,extra_penalty,rounding_bonus,efficiency,spend_per_day
3,93.0,1.42,364.51,276.7954860027708,-87.71451399722918,246,50.79548600277082,-20,1.0,1.0,1.0,0,31.0,0.47333333333333333
1,55.0,3.6,126.06,93.9,-32.16,82,31.9,-20,1.0,1.0,1.0,0,55.0,3.6
1,47.0,17.97,128.91,89.25999999999999,-39.650000000000006,82,27.259999999999998,-20,1.0,1.0,1.0,0,47.0,17.97
2,13.0,4.67,203.52,151.235391052434,-52.284608947566,164,7.23539105243401,-20,1.0,1.0,1.0,0,6.5,2.335
3,88.0,5.78,380.37,274.06454589509497,-106.30545410490504,246,48.064545895094966,-20,1.0,1.0,1.0,0,29.333333333333332,1.9266666666666667
1,76.0,13.74,158.35,106.08,-52.269999999999996,82,44.08,-20,1.0,1.0,1.0,0,76.0,13.74
3,41.0,4.52,320.12,248.39370888294195,-71.72629111705805,246,22.393708882941976,-20,1.0,1.0,1.0,0,13.666666666666666,1.5066666666666666
1,140.0,22.71,199.68,143.2,-56.48000000000002,82,81.19999999999999,-20,1.0,1.0,1.0,0,140.0,22.71
3,121.0,21.17,464.07,292.0887506057556,-171.9812493942444,246,66.08875060575558,-20,1.0,1.0,1.0,0,40.333333333333336,7.0566666666666675
3,117.0,21.99,359.1,309.9039985196149,-49.19600148038512,246,63.9039985196149,-20,1.0,1.0,1.0,20,39.0,7.329999999999999
2,202.0,21.24,356.17,255.77370849898477,-100.39629150101524,164,111.77370849898476,-20,1.0,1.0,1.0,0,101.0,10.62
3,80.0,21.05,366.87,269.6950417228136,-97.17495827718642,246,43.695041722813606,-20,1.0,1.0,1.0,0,26.666666666666668,7.016666666666667
2,21.0,20.04,204.58,155.6879393923934,-48.89206060760662,164,11.6879393923934,-20,1.0,1.0,1.0,0,10.5,10.02
3,177.0,18.73,430.86,322.6752798117251,-108.18472018827492,246,96.6752798117251,-20,1.0,1.0,1.0,0,59.0,6.243333333333333
1,141.0,10.15,195.14,143.78,-51.359999999999985,82,81.78,-20,1.0,1.0,1.0,0,141.0,10.15
1,58.0,5.86,117.24,95.64,-21.599999999999994,82,33.64,-20,1.0,1.0,1.0,0,58.0,5.86
1,133.0,8.34,179.06,139.14,-39.920000000000016,82,77.14,-20,1.0,1.0,1.0,0,133.0,8.34
1,59.0,8.31,120.65,96.22,-24.430000000000007,82,34.22,-20,1.0,1.0,1.0,0,59.0,8.31
2,89.0,13.85,234.2,193.53460028204822,-40.66539971795177,164,49.53460028204822,-20,1.0,1.0,1.0,0,44.5,6.925
2,147.0,17.43,325.56,225.8155757467538,-99.7444242532462,164,81.81557574675381,-20,1.0,1.0,1.0,0,73.5,8.715
5,130.0,306.9,574.1,709.8260213931995,135.72602139319952,410,69.65102139319957,230.17499999999998,1.0,1.0,1.0,0,26.0,61.379999999999995
5,173.0,1337.9,1443.96,1352.2657756069368,-91.69422439306322,410,92.68943616171943,849.5763394452174,1.0,1.0,1.0,0,34.6,267.58000000000004
5,592.0,433.75,869.0,932.6279175279993,63.62791752799933,410,197.31541752799933,325.3125,1.0,1.0,1.0,0,118.4,86.75
5,679.0,476.08,1030.41,984.3854175279994,-46.0245824720007,410,217.32541752799932,357.06,1.0,1.0,1.0,0,135.8,95.216
5,708.0,1129.52,1654.62,1472.121613690562,-182.49838630943782,410,223.99541752799934,838.1261961625628,1.0,1.0,1.0,0,141.6,225.904
5,261.0,464.94,621.12,879.8904175279993,258.77041752799926,410,121.18541752799933,348.705,1.0,1.0,1.0,0,52.2,92.988
5,794.0,511.0,1139.94,1037.0254175279993,-102.9145824720008,410,243.77541752799934,383.25,1.0,1.0,1.0,0,158.8,102.2
5,521.0,1448.55,1624.01,1443.95226101903,-180.05773898097004,410,180.98541752799935,852.9668434910307,1.0,1.0,1.0,0,104.2,289.71
5,595.0,863.93,1231.67,1364.8760277361844,133.2060277361843,410,198.00541752799933,756.8706102081851,1.0,1.0,1.0,0,119.0,172.786
5,811.0,952.39,1608.6,1430.4018919895575,-178.1981080104424,410,247.68541752799933,772.7164744615582,1.0,1.0,1.0,0,162.2,190.478
5,477.0,704.42,1045.96,1287.0527979564877,241.09279795648763,410,170.86541752799934,706.1873804284883,1.0,1.0,1.0,0,95.4,140.884
5,730.0,485.73,991.49,1003.3529175279994,11.862917527999343,410,229.05541752799934,364.2975,1.0,1.0,1.0,0,146.0,97.146
5,262.0,1173.79,1485.59,1373.0463190700248,-112.54368092997515,410,121.41541752799934,841.6309015420253,1.0,1.0,1.0,0,52.4,234.75799999999998
5,446.0,219.98,788.62,738.7204175279993,-49.8995824720007,410,163.73541752799935,164.98499999999999,1.0,1.0,1.0,0,89.2,43.995999999999995
5,751.0,407.43,1063.46,949.4579175279994,-114.00208247200067,410,233.88541752799932,305.5725,1.0,1.0,1.0,0,150.2,81.486
5,324.0,128.94,686.54,642.3804175279994,-44.15958247200058,410,135.67541752799934,96.705,1.0,1.0,1.0,0,64.8,25.788
5,414.0,967.0,1368.94,1341.3199791272905,-27.620020872709574,410,156.37541752799933,774.9445615992912,1.0,1.0,1.0,0,82.8,193.4
5,367.0,290.78,742.25,773.6504175279993,31.400417527999252,410,145.56541752799933,218.08499999999998,1.0,1.0,1.0,0,73.4,58.15599999999999
5,764.0,848.75,1468.46,1400.500740492076,-67.95925950792412,410,236.87541752799933,753.6253229640765,1.0,1.0,1.0,0,152.8,169.75
5,249.0,873.75,1185.24,1287.2978051586044,102.05780515860442,410,118.42541752799933,758.8723876306051,1.0,1.0,1.0,0,49.8,174.75
8,862.0,1817.85,1719.37,1419.2636350032835,-300.10636499671637,656,257.9168542494924,860.1626895046118,1.0,0.8,1.0,0,107.75,227.23125
11,927.0,1994.33,1779.12,1629.231161680535,-149.88883831946487,902,272.0341815132442,862.5047705874244,1.0,0.8,1.0,0,84.27272727272727,181.30272727272725
9,602.0,186.69,1085.4,1075.8108333333332,-9.58916666666687,738,197.79333333333335,140.01749999999998,1.0,1.0,1.0,0,66.88888888888889,20.743333333333332
